Gene	Symbol	Description At Homolog	
Zm00001d028623		U-box domain-containing protein 13	AT3G46510,AT2G28830
Zm00001d028624		Probable protein phosphatase 2C 33	
Zm00001d028625	dof30	C2C2-Dof-transcription factor 30	
Zm00001d028627		Retrotransposon-like protein	
Zm00001d028630		Heat shock cognate 70 kDa protein 2	
Zm00001d028635		ATP-dependent 6-phosphofructokinase 3	
Zm00001d028639		Heat shock 70 kDa protein 3	
Zm00001d028642		Beta-glucuronosyltransferase GlcAT14C	
Zm00001d028643	AY106592	HSP20-like chaperones superfamily protein	
Zm00001d028646		DExH-box ATP-dependent RNA helicase DExH12	
Zm00001d028647	pco065024	Glyoxalase family protein superfamily	AT1G07645
Zm00001d028649		Embryogenesis transmembrane protein-like;  protein	
Zm00001d028651	wusl1032	 wusl1032; : cDNA clone pZmL1032 (cultivar Berkeley Fast) hybridizes to mRNA with very late anaerobic accumulation	AT5G48540
Zm00001d028653	tgd1	dTDP-glucose dehydratase homolog csu219	AT3G46440,AT2G28760,AT5G59290
Zm00001d028654		Trifunctional UDP-glucose 46-dehydratase/UDP-4-keto-6-deoxy-D-glucose 35-epimerase/UDP-4-keto-L-rhamnose-reductase RHM2	AT3G14790,AT1G53500,AT1G78570
Zm00001d028655		THO complex subunit 4B	AT5G59950
Zm00001d028656		DNA binding protein	AT3G53710,AT2G37550
Zm00001d028658		Thylakoid lumenal 15 kDa protein 1 chloroplastic	
Zm00001d028660		Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger domain	
Zm00001d028661		RNA binding protein	AT2G37510
Zm00001d028662	pco075894	Arginine biosynthesis bifunctional protein ArgJ%2C chloroplastic Glutamate N-acetyltransferase Amino-acid acetyltransferase Arginine biosynthesis bifunctional protein ArgJ alpha chain Arginine biosynthesis bifunctional protein ArgJ beta chain	AT2G37500
Zm00001d028664		Transcription factor bHLH112	
Zm00001d028667	znf4	zinc finger protein4	
Zm00001d028668	pco077271b	phosphoinositide binding	AT1G61620
Zm00001d028669		Kinesin-like protein KIN-5B	
Zm00001d028670		Photosynthetic NDH subunit of lumenal location 1 chloroplastic	
Zm00001d028671		ABC transporter B family member 6	
Zm00001d028672		Ribosomal protein S18	AT1G07210
Zm00001d028673		Probable small nuclear ribonucleoprotein G	
Zm00001d028675		Plant-specific domain TIGR01589 family protein	
Zm00001d028678		Tryptophan synthase alpha chain chloroplastic	
Zm00001d028679		Protein binding protein	AT3G12360
Zm00001d028680		Ankyrin repeat-containing protein	AT1G07710,AT5G60070
Zm00001d028686		Receptor-like protein kinase HERK 1	
Zm00001d028687	cap2	calcium pump2	
Zm00001d028689		ATPase%2C coupled to transmembrane movement of substances	AT5G13580,AT2G39350,AT3G55090
Zm00001d028691		 protein; Expressed protein	AT3G53490
Zm00001d028692	pco124824	Glutathione S-transferase L2 chloroplastic	AT5G02780,AT5G02790
Zm00001d028693	saf1	safener induced1	AT5G02780,AT5G02790
Zm00001d028694		Ent-kaurenoic acid oxidase 1	
Zm00001d028695	umc1479	Protein MODIFIER OF SNC1 11	AT5G02770
Zm00001d028696		 protein; Expressed protein	
Zm00001d028697		Pentatricopeptide repeat-containing protein	AT2G37310
Zm00001d028698	pco115659	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	AT3G55030,AT2G39290
Zm00001d028699		Ypt/Rab-GAP domain of gyp1p superfamily protein	
Zm00001d028701		Probable serine/threonine-protein kinase RLCKVII	
Zm00001d028702		50S ribosomal protein L10 chloroplastic	AT5G13510
Zm00001d028704		Thioredoxin-like protein AAED1 chloroplastic	AT2G37240
Zm00001d028705	spo3	topoisomerase-like enzyme3	AT5G02820
Zm00001d028709	apx3	ascorbate peroxidase homolog3	AT1G07890
Zm00001d028711	mpk3	MAP kinase3	AT3G45640
Zm00001d028712	gpm121	Arogenate dehydratase/prephenate dehydratase 2 chloroplastic	AT3G07630
Zm00001d028713	pco085840	Probable sugar phosphate/phosphate translocator	AT5G05820,AT3G11320
Zm00001d028714	rrm1	RNA recognition motif1	AT3G54770
Zm00001d028715		Transducin/WD40 repeat-like superfamily protein	AT3G45620
Zm00001d028718	pmpm4	proteolipid membrane potential regulator4	AT2G38905
Zm00001d028720	IDP112	Phosphatidylinositol transfer protein expressed	
Zm00001d028721	lbd4	LBD-transcription factor 4	AT2G28500,AT1G07900
Zm00001d028722		Universal stress protein PHOS34	
Zm00001d028725		Beta3-glucuronyltransferase	AT2G37090
Zm00001d028726	pdi9	protein disulfide isomerase9	AT1G07960
Zm00001d028727		alpha/beta-Hydrolases superfamily protein	AT3G09690,AT5G02970
Zm00001d028728	AY110640	 AY110640; : similar to Arabidopsis RNA pseudouridine synthase 5	AT3G52260
Zm00001d028730		Bacteria - 1396; Plants - 5037; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Viruses - 0; Metazoa - 17338; Other Eukaryotes - 2996 (source: NCBI BLink).; CONTAINS InterPro DOMAIN/s: Taxilin (InterPro:IPR019132); Fungi - 3422	AT5G50840
Zm00001d028731		Dolichyldiphosphatase 1	AT5G03080
Zm00001d028732		Chaperone protein dnaJ 10	
Zm00001d028733	akin2	AKINbetagamma-1 protein kinase2	
Zm00001d028735	imd1	isopropylmalate dehydrogenase1	
Zm00001d028736		Integral membrane Yip1 family protein	AT2G36300,AT3G52760
Zm00001d028737		Glucuronoxylan 4-O-methyltransferase 2	
Zm00001d028739		Sialyltransferase-like protein 2	
Zm00001d028742	fad8	fatty acid desaturase8	AT5G05580,AT3G11170
Zm00001d028744		jasmonate-regulated gene 21	AT3G11180,AT3G55970,AT5G05600
Zm00001d028745		Rhodanese-like family protein	AT3G08920
Zm00001d028746		Phosphoinositide phospholipase C 4	
Zm00001d028749		Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger domain	AT5G58610
Zm00001d028750	asn3	asparagine synthetase3	
Zm00001d028751		Protein ESKIMO 1	AT3G55990,AT2G40150
Zm00001d028752		Probable protein phosphatase 2C 30	AT1G07160,AT2G30020
Zm00001d028753		Mitochondrial succinate-fumarate transporter 1	AT5G01340
Zm00001d028754		mitogen-activated protein kinase kinase kinase 13	AT2G30040,AT1G07150
Zm00001d028755		Ran-binding protein 1 homolog a	AT1G07140,AT2G30060,AT5G58590
Zm00001d028757		Transcription factor bHLH140	AT3G56010,AT5G01310
Zm00001d028759	pdc3	pyruvate decarboxylase3	AT5G01330,AT4G33070,AT5G01320,AT5G54960
Zm00001d028761		Tetratricopeptide repeat (TPR)-like superfamily protein	AT1G07120
Zm00001d028762		6-phosphofructo-2-kinase/fructose-26-bisphosphatase	
Zm00001d028763		Retrovirus-related Pol polyprotein LINE-1	
Zm00001d028765		Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family	
Zm00001d028766		Asparagine synthetase [glutamine-hydrolyzing] 1	
Zm00001d028769		tetratricopeptide repeat (TPR)-containing protein	AT3G51770
Zm00001d028770		Protein kinase superfamily protein	
Zm00001d028771		Ubiquitin-activating enzyme E1 2	
Zm00001d028773		NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8-B	AT3G06310,AT5G18800
Zm00001d028774		Protein kinase superfamily protein	AT5G07140,AT5G58520
Zm00001d028775	IDP643	Thioredoxin superfamily protein	AT1G07080
Zm00001d028776		Thioredoxin superfamily protein	
Zm00001d028777	ms9	male sterile9	AT3G28470
Zm00001d028779		Mitochondrial import inner membrane translocase subunit tim22	AT1G18320,AT3G10110
Zm00001d028780	TIDP2814	Tetraspanin-18	AT2G20230,AT4G28770
Zm00001d028782		Eukaryotic translation initiation factor 2 subunit alpha	AT2G40290,AT5G05470
Zm00001d028783		 protein; Expressed protein	AT2G40316
Zm00001d028784		Mitochondrial substrate carrier family protein	AT1G07030,AT2G30160
Zm00001d028785	AY110632	 AY110632; :	
Zm00001d028786		40S ribosomal protein S7	AT1G48830
Zm00001d028787	pco095766	Malonyl CoA-acyl carrier protein transacylase	AT2G30200
Zm00001d028789		Serine/arginine-rich splicing factor RSZ22	
Zm00001d028793		Abscisic acid receptor PYL5	AT2G38310,AT2G40330,AT5G05440
Zm00001d028795		Phosphatidate cytidylyltransferase 3	
Zm00001d028796		meristematic receptor-like  kinase	AT3G51740
Zm00001d028797	lac12	laccase12	
Zm00001d028801		26S proteasome regulatory subunit 4 homolog A	AT2G20140,AT4G29040
Zm00001d028803		Protein SCAR2	AT2G38440
Zm00001d028804		U2 small nuclear ribonucleoprotein B''	AT2G30260,AT1G06960
Zm00001d028806	ts2	tassel seed2	AT3G51680
Zm00001d028807		40S ribosomal protein S28	AT3G10090,AT5G03850,AT5G64140
Zm00001d028808		senescence associated gene 20	AT5G01740
Zm00001d028809		PLAC8 family protein	
Zm00001d028810		LL-diaminopimelate aminotransferase chloroplastic	AT4G33680
Zm00001d028811		Xyloglucan 6-xylosyltransferase 2	AT3G62720,AT4G02500
Zm00001d028812		zinc finger (MYND type) family protein / programmed cell death 2 C-terminal domain-containing protein	AT4G02220
Zm00001d028813		transducin family protein / WD-40 repeat family protein	AT5G11240
Zm00001d028814		Pathogenesis-related protein [source:UniProtKB/TrEMBL;Acc:Q41298_SORBI]	
Zm00001d028815	prp7	pathogenesis-related protein7	
Zm00001d028816	prp6	pathogenesis-related protein6	
Zm00001d028818	dek1	defective kernel1	AT1G55350
Zm00001d028819	pme10	pectin methylesterase10	AT3G05610,AT5G49180,AT5G27870
Zm00001d028820		Chaperone DnaJ-domain superfamily protein	AT1G56300
Zm00001d028821		F-box domain containing protein	AT4G12560,AT3G06240,AT4G22390
Zm00001d028822		F-box domain containing protein expressed	AT4G12560,AT3G06240,AT4G22390
Zm00001d028823		F-box domain containing protein expressed	AT4G12560,AT3G06240,AT4G22390
Zm00001d028824		Probable galacturonosyltransferase-like 7	AT3G62660
Zm00001d028825		NAD(P)-binding Rossmann-fold superfamily protein	
Zm00001d028826	rth3	roothair defective3	AT5G49270,AT4G16120,AT3G16860
Zm00001d028827	cl8740_1a	Exonuclease DPD1 chloroplastic/mitochondrial	AT5G26940
Zm00001d028828	c3h41	C3H-transcription factor 341	
Zm00001d028829		Calmodulin-binding protein 60 G	
Zm00001d028830		P-loop nucleoside triphosphate hydrolases superfamily protein with CH (Calponin Homology) domain	
Zm00001d028832		Cytochrome P450 711A1	
Zm00001d028834		Peroxisomal biogenesis factor 11 family protein	AT1G47750
Zm00001d028837		Anaphase-promoting complex subunit 11	AT3G05870
Zm00001d028838		Long cell-linked locus protein	AT5G38700,AT4G02170
Zm00001d028839		Hypersensitive-induced response protein 2	
Zm00001d028840		DUF4378 domain protein	AT3G05750,AT3G58650,AT5G26910
Zm00001d028841		Calmodulin-binding protein	AT3G62630
Zm00001d028842	mybr102	MYB-related-transcription factor 102	AT2G47460,AT3G62610
Zm00001d028845		Transcription factor MYB12	
Zm00001d028846	mybr12	MYB-related-transcription factor 12	
Zm00001d028849		Transcription factor MYB12	
Zm00001d028850		Transcription factor MYB12	
Zm00001d028851	mybr44	MYB-related-transcription factor 44	
Zm00001d028854	p1	pericarp color1	
Zm00001d028855		LL-diaminopimelate aminotransferase chloroplastic	
Zm00001d028856		Retrovirus-related Pol polyprotein LINE-1	
Zm00001d028862		Glycine-rich protein family	AT1G56320
Zm00001d028863	phd6	PHD-transcription factor 6	AT4G02110
Zm00001d028865		Probable inactive purple acid phosphatase 1	
Zm00001d028866		Tetratricopeptide repeat (TPR)-like superfamily protein	AT2G47440,AT4G02100,AT3G62570,AT1G02650
Zm00001d028867	AY110240	cAMP-regulated phosphoprotein 19-related protein	
Zm00001d028868		Acetate/butyrate--CoA ligase AAE7 peroxisomal	AT3G16910
Zm00001d028870		Multidrug resistance protein ABC transporter family protein	AT4G02090
Zm00001d028871		conserved oligomeric Golgi complex component-related / COG complex component-related	
Zm00001d028872		Tubulin gamma-2 chain	
Zm00001d028873		Outer envelope pore protein 16-2 chloroplastic	AT4G16160
Zm00001d028874		Xyloglucan 6-xylosyltransferase 2	
Zm00001d028875		Lon protease homolog 2 peroxisomal	
Zm00001d028876		agenet domain-containing protein / bromo-adjacent homology (BAH) domain-containing protein	
Zm00001d028877		Cyclin-dependent kinase B1-1	
Zm00001d028878		protein serine/threonine kinases;ATP binding;catalytics	
Zm00001d028879	bzip24	bZIP-transcription factor 24	
Zm00001d028880		Calvin cycle protein CP12-2 chloroplastic	AT3G62410,AT2G47400
Zm00001d028881		Protein STRUBBELIG-RECEPTOR FAMILY 4	
Zm00001d028882		Actin-11	
Zm00001d028887	nas9	nicotianamine synthase9	AT1G09240,AT5G56080,AT5G04950,AT1G56430
Zm00001d028888	nas2	nicotianamine synthase2	AT1G09240,AT5G56080,AT5G04950,AT1G56430
Zm00001d028889		Calcium-dependent phosphotriesterase superfamily protein	AT2G47370,AT2G16760
Zm00001d028890	mez3	enhancer of zeste3	AT4G02020
Zm00001d028894		Ubiquitin-conjugating enzyme E2 32	AT3G17000
Zm00001d028895	clpp2	chloroplast protease complex P2	
Zm00001d028896		ARM repeat superfamily protein	AT5G26850
Zm00001d028898		DEAD-box ATP-dependent RNA helicase 24	AT2G47330
Zm00001d028899		 protein; Expressed protein	AT1G06320
Zm00001d028900		 protein; Expressed protein	
Zm00001d028901	hcf3	high chlorophyll fluorescence3	
Zm00001d028902		FIP1[III]-like protein	
Zm00001d028903		heme binding	AT3G62370
Zm00001d028905	phyB1	phytochromeB1	AT2G18790,AT4G16250
Zm00001d028907	AY107489	FAD/NAD(P)-binding oxidoreductase family protein	
Zm00001d028912		UPF0481 protein	
Zm00001d028915		Chloroplast protein HCF243	AT3G15095
Zm00001d028916	IDP875	Transcription factor bHLH148	AT3G06590,AT3G17100
Zm00001d028918	nad1	NADH ubiquinone oxidoreductase1	AT5G52840
Zm00001d028919	ereb26	AP2-EREBP-transcription factor 26	
Zm00001d028920	umc2741	Nuclear poly(A) polymerase 3	AT3G06560
Zm00001d028921		L-Aspartase-like family protein	AT1G36280,AT4G18440
Zm00001d028923	pco124238	Probable pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH3	AT3G62310,AT2G47250
Zm00001d028924	AY110393	 AY110393; :	AT4G01940
Zm00001d028926	invan7	invertase alkaline neutral7	AT1G56560
Zm00001d028928		HIT zinc finger ;PAPA-1-like conserved region	
Zm00001d028930	myb75	MYB-transcription factor 75	AT3G06490,AT5G49620
Zm00001d028931	gols1	galactinol synthase1	AT1G56600,AT2G47180
Zm00001d028935		Pentatricopeptide repeat-containing protein	AT1G56690,AT1G09410
Zm00001d028936	bzip52	bZIP-transcription factor 52	
Zm00001d028941	vq3	VQ motif-transcription factor3	
Zm00001d028946	snrk1a3	SNF1-related kinase alpha1-like3	AT5G21170
Zm00001d028948	cal3	calmodulin3	AT2G27030
Zm00001d028949	cipk3	calcineurin B-like-interacting protein kinase3	
Zm00001d028950		DUF3148 family protein	AT5G20935
Zm00001d028951	sbip2a	small basic membrane intrinsic protein2a	AT3G56950
Zm00001d028952		Alpha-L-arabinofuranosidase 1	
Zm00001d028953	vq4	VQ motif-transcription factor4	
Zm00001d028954		Guanylate kinase	AT3G06200
Zm00001d028955		Membrane steroid-binding protein 1	
Zm00001d028957		F-box protein	
Zm00001d028958		Endoplasmic reticulum vesicle transporter protein	
Zm00001d028960		 protein; Expressed protein	AT2G27090
Zm00001d028962	wrky32	WRKY-transcription factor 32	
Zm00001d028963	pki1	protein kinase inhibitor1	AT3G56490
Zm00001d028965		MADS box interactor-like	
Zm00001d028966		ELMO/CED-12 family protein	AT3G03610
Zm00001d028967		Probable ADP-ribosylation factor GTPase-activating protein AGD14	
Zm00001d028968		Chaperone protein dnaJ 20 chloroplastic	
Zm00001d028971		Mitochondrial import receptor subunit TOM40-1	AT3G20000
Zm00001d028973	plt4	phospholipid transfer protein homolog4	
Zm00001d028974	eil3	ethylene insensitive-like3	AT3G20770,AT2G27050
Zm00001d028975	lim432	NB-ARC domain containing protein expressed;  protein	
Zm00001d028980		Exostosin family protein	AT3G45400
Zm00001d028981		Uncharacterised conserved protein UCP022280	AT4G26410
Zm00001d028982		RING/U-box superfamily protein	
Zm00001d028983		Pyruvate kinase family protein	
Zm00001d028984	glk26	G2-like-transcription factor 26	AT5G18240,AT3G04030
Zm00001d028986	hb130	Homeobox-transcription factor 130	AT5G17810,AT3G03660
Zm00001d028987		Phospholipid-transporting ATPase 1	AT5G04930
Zm00001d028988		Phospholipid-transporting ATPase 1	
Zm00001d028989	umc1452	RING/U-box superfamily protein	AT5G18260
Zm00001d028992		Thioredoxin-like 1-1 chloroplastic	AT1G08570
Zm00001d028994		U11/U12 small nuclear ribonucleoprotein 65 kDa protein	AT1G09230
Zm00001d028995	nactf11	NAC-transcription factor 11	AT3G04060,AT5G18270
Zm00001d028996		Transducin/WD40 repeat-like superfamily protein	
Zm00001d028998		hydroxyproline-rich glycoprotein family protein	
Zm00001d028999	nactf44	NAC-transcription factor 44	AT3G04070
Zm00001d029002		Alba DNA/RNA-binding protein	
Zm00001d029004		Guanine nucleotide exchange factor SPIKE 1	
Zm00001d029008		O-fucosyltransferase family protein	
Zm00001d029009		Apyrase 1	AT3G04080,AT5G18280
Zm00001d029010	c3h45	C3H-transcription factor 345	AT3G51950,AT3G63450
Zm00001d029011		Endoglucanase 25	AT5G49720
Zm00001d029012		Leucine-rich repeat protein kinase family protein	AT1G79620
Zm00001d029014		Probable dolichyl pyrophosphate Man9GlcNAc2 alpha-13-glucosyltransferase	AT5G38460
Zm00001d029015	pal10	phenylalanine ammonia lyase homolog10	
Zm00001d029017		ABC transporter B family member 27	
Zm00001d029018	cdpk16	calcium dependent protein kinase16	
Zm00001d029020	glk17	G2-like-transcription factor 17	
Zm00001d029023	cl40803_1a	Probable galacturonosyltransferase 7	AT2G38650
Zm00001d029025		23-bisphosphoglycerate-independent phosphoglycerate mutase 1	
Zm00001d029027	ycf54 	ycf54 homolog	AT5G58250
Zm00001d029028		Calcium-binding protein CML42	AT4G20780,AT5G44460
Zm00001d029030		Yos1-like protein	AT2G37975,AT3G54085
Zm00001d029031		Cytochrome P450 CYP714B3	AT5G24900,AT5G24910
Zm00001d029033		18S pre-ribosomal assembly protein gar2-related	
Zm00001d029034		ABC transporter B family member 25 mitochondrial	AT4G28630,AT5G58270,AT4G28620
Zm00001d029035		DNA-binding bromodomain-containing protein	
Zm00001d029036		Hydroxyacylglutathione hydrolase cytoplasmic	AT3G10850
Zm00001d029038		HAD superfamily subfamily IIIB acid phosphatase	
Zm00001d029039	gpm405	ABC transporter I family member 6 chloroplastic	AT3G10670
Zm00001d029040	bnlg2238	 bnlg2238; :	
Zm00001d029041		Mitochondrial ATP synthase D chain-related protein	AT2G38580
Zm00001d029044		ABC transporter E family member 2	AT4G19210
Zm00001d029046		P-loop containing nucleoside triphosphate hydrolases superfamily protein	AT1G06720
Zm00001d029047		Receptor-like protein kinase FERONIA	AT3G51550
Zm00001d029048	cdo938a	Eukaryotic translation initiation factor 2 beta subunit	AT5G20920
Zm00001d029049		Photosystem II repair protein PSB27-H1 chloroplastic	AT1G03600
Zm00001d029050	magi106053	Serine/threonine-protein kinase AtPK1/AtPK6	
Zm00001d029051	sol1	sympathy for the ligule1	AT5G05190
Zm00001d029053		Lung seven transmembrane receptor family protein	AT1G61670
Zm00001d029055		DNA-directed RNA polymerase I subunit 1	
Zm00001d029056		Vacuolar-sorting receptor 1	
Zm00001d029059		Probable LRR receptor-like serine/threonine-protein kinase IRK	AT3G56370
Zm00001d029060		65-kDa microtubule-associated protein 3	
Zm00001d029061	ppr27	pentatricopeptide repeat protein27	
Zm00001d029062		Vicilin-like seed storage protein	AT2G28490
Zm00001d029064	bzip98	bZIP-transcription factor 98	AT2G40620
Zm00001d029065		Protein LRP16	AT2G40600
Zm00001d029066		PAP/OAS1 substrate-binding domain superfamily	
Zm00001d029067	ofp4	OVATE-transcription factor 4	
Zm00001d029072	hak8	potassium high-affinity transporter8	AT2G40540
Zm00001d029074	les22	lesion22	AT2G40490
Zm00001d029075	cl63836_1	CBL-interacting serine/threonine-protein kinase 10	
Zm00001d029077		Putative tRNA pseudouridine synthase	AT2G30320
Zm00001d029078	IDP1489	 IDP1489; :	
Zm00001d029081		Protein VAC14 homolog	
Zm00001d029083	algt1	alanine--glyoxylate aminotransferase1	
Zm00001d029084		Fumarate hydratase 1 mitochondrial	AT2G47510,AT5G50950
Zm00001d029085		Probable phospholipid hydroperoxide glutathione peroxidase 6 mitochondrial	
Zm00001d029086		RING-H2 finger protein ATL3	
Zm00001d029087		Sucrose synthase 3	
Zm00001d029088		Fumarate hydratase 1 mitochondrial	
Zm00001d029089		Probable phospholipid hydroperoxide glutathione peroxidase 6 mitochondrial	
Zm00001d029090		RING-H2 finger protein ATL3	
Zm00001d029091	sus2	sucrose synthase2	AT4G02280
Zm00001d029092		Tubby-like F-box protein 3	
Zm00001d029093	umc1849	Tetratricopeptide repeat (TPR)-like superfamily protein	AT3G16760
Zm00001d029095		Putative GTP diphosphokinase RSH1 chloroplastic	AT4G02260
Zm00001d029098	sweet16	sugars will eventually be exported transporter16	
Zm00001d029102		Dormancy-associated protein homolog 3	AT1G56220
Zm00001d029103		4-alpha-glucanotransferase DPE2	
Zm00001d029104		U3 ribonucleoprotein (Utp) family protein	AT5G08600,AT4G02400
Zm00001d029105		Blue-light photoreceptor PHR2	AT2G47590
Zm00001d029106		Peter Pan-like protein	AT5G61770
Zm00001d029107		 protein; Expressed protein	AT3G06890
Zm00001d029108		Protein STRICTOSIDINE SYNTHASE-LIKE 11	
Zm00001d029111		Protein STRICTOSIDINE SYNTHASE-LIKE 11	
Zm00001d029115		Protein STRICTOSIDINE SYNTHASE-LIKE 11	
Zm00001d029117		Protein STRICTOSIDINE SYNTHASE-LIKE 11	
Zm00001d029118		Sentrin-specific protease 2	
Zm00001d029119		Protein LURP-one-related 2	AT1G53870,AT1G53890,AT3G14260
Zm00001d029120		AAA-type ATPase family protein	
Zm00001d029121	cl4569_1a	ATP-dependent Clp protease proteolytic subunit	AT1G09130
Zm00001d029122		Rapid ALkalinization Factor family protein	
Zm00001d029123		cell cycle checkpoint control protein family	AT3G05480
Zm00001d029124	rps21b	40S ribosomal protein S21b	AT5G27700,AT3G53890
Zm00001d029125		Desiccation-related protein PCC13-62	AT3G62730
Zm00001d029126		Heavy metal transport/detoxification superfamily protein	
Zm00001d029127		Cytokinin riboside 5'-monophosphate phosphoribohydrolase LOG3	
Zm00001d029129		Metal tolerance protein C1	AT2G47830
Zm00001d029133		Nuclear cap-binding protein subunit 1	AT2G13540
Zm00001d029134		CW-type Zinc Finger	
Zm00001d029135	sweet12a	sugars will eventually be exported transporter12a	
Zm00001d029136		Triacylglycerol lipase SDP1	
Zm00001d029137		protein kinase family protein / WD-40 repeat family protein	
Zm00001d029138		Peptidyl-tRNA hydrolase mitochondrial	AT5G19830
Zm00001d029139		Alpha-humulene/(-)-(E)-beta-caryophyllene synthase	
Zm00001d029140	asg75	 asg75; : NCBI: similar to Arabidopsis lipase class 3 family protein	
Zm00001d029141		E3 ubiquitin-protein ligase MIEL1	
Zm00001d029142		Nuclear pore complex protein NUP93A	AT2G41620,AT3G57350
Zm00001d029143		Transposon protein	AT1G54610
Zm00001d029144	umc1472	Probable nucleolar protein 5-1	AT3G05060,AT5G27120
Zm00001d029147		DNA binding protein	
Zm00001d029149	col15	C2C2-CO-like-transcription factor 1	
Zm00001d029150	dvr1	divinyl reductase1	AT5G18660
Zm00001d029151		UDP-glucose 4-epimerase 4	AT1G64440,AT4G23920,AT4G10960
Zm00001d029152		DNA mismatch repair protein MSH2	
Zm00001d029154	bmy3	beta-amylase3	
Zm00001d029160		Tetratricopeptide repeat-like superfamily protein	
Zm00001d029162		Probable N-acetyl-gamma-glutamyl-phosphate reductase chloroplastic	
Zm00001d029163		Calcium-dependent protein kinase 7	
Zm00001d029164		Beta-amylase	AT5G18670
Zm00001d029165	tubtf11	TUB-transcription factor 11	AT2G47900
Zm00001d029168		Retrotransposon-like protein	
Zm00001d029170	sod4	superoxide dismutase4	AT1G08830
Zm00001d029173		Nascent polypeptide-associated complex alpha subunit-like protein	AT3G12390,AT5G13850
Zm00001d029174	pco078604	homolog of nucleolar protein NOP56	AT3G12860,AT1G56110
Zm00001d029176		Ribosomal protein L15	AT5G65110
Zm00001d029177		Nuclear/nucleolar GTPase 2	AT1G52980
Zm00001d029179		Aspartokinase 1 chloroplastic	
Zm00001d029180	chr125b	chromatin complex subunit A	AT3G57300
Zm00001d029183	IDP739	cytochrome P450 family 81 subfamily D polypeptide 8	
Zm00001d029184		Cytochrome P450 71A26	
Zm00001d029188		COMPASS-like H3K4 histone methylase component WDR5B	AT2G41500
Zm00001d029189		R3H domain protein	
Zm00001d029190		Very-long-chain 3-oxoacyl-CoA reductase-like protein	
Zm00001d029191		Monocopper oxidase-like protein SKU5	AT5G16520
Zm00001d029193		SKU5  similar 3	AT5G48450
Zm00001d029194		cytochrome P450 family 81 subfamily D polypeptide 8	
Zm00001d029195	tps8	terpene synthase8	
Zm00001d029196	asg30b	Beta-adaptin-like protein C	
Zm00001d029197		IQ-domain 11	
Zm00001d029198	pco083348	Probable diphthine methyl ester synthase	AT1G09220
Zm00001d029199		Pentatricopeptide repeat-containing protein  mitochondrial	
Zm00001d029200		NAD(P)-binding Rossmann-fold superfamily protein	
Zm00001d029201		50S ribosomal protein L6	AT1G05190
Zm00001d029202		Electron transporter	AT5G13810
Zm00001d029203	cl5847_1	TRAF-like superfamily protein	
Zm00001d029206	pco097891	Protein DGS1 mitochondrial	AT5G12290
Zm00001d029207		Annexin-like protein RJ4	AT2G38750
Zm00001d029208		Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	AT2G41250
Zm00001d029209		Phosphatidylinositol 4-phosphate 5-kinase 6	
Zm00001d029211		Phosphatidylinositol 4-phosphate 5-kinase 6	
Zm00001d029212	IDP182	Rho GTPase activator	AT5G12150,AT5G19390
Zm00001d029214		TRAF type zinc finger domain containing 1	AT1G09920
Zm00001d029215		Villin-2	AT3G57410,AT2G41740
Zm00001d029216		Retrovirus-related Pol polyprotein LINE-1	
Zm00001d029217		Probable F-box protein At1g60180	
Zm00001d029218	fht2	flavanone 3-hydroxylase2	
Zm00001d029222		Tetratricopeptide repeat (TPR)-like superfamily protein	AT3G63095
Zm00001d029223		Protein HUA2-LIKE 3	
Zm00001d029226		Rhomboid-like protein 19	
Zm00001d029227		alpha/beta-Hydrolases superfamily protein	AT4G14290,AT3G23540
Zm00001d029228		DUF2431 domain protein	
Zm00001d029229		2-hydroxyacyl-CoA lyase	
Zm00001d029231	pco105094	Aminotransferase%2C class IV family protein	AT5G27410,AT3G05190
Zm00001d029232		Phospholipase A1-IIgamma	
Zm00001d029234		Protein Mo25	AT5G18940
Zm00001d029235		Probable galacturonosyltransferase-like 4	AT3G06260
Zm00001d029237		Probable low-specificity L-threonine aldolase 1	
Zm00001d029238	pco064025	Peptide methionine sulfoxide reductase B5	
Zm00001d029241		Flavonoid 3-monooxygenase	
Zm00001d029242	mterf1	mTERF-domain protein1	AT2G36000
Zm00001d029243		Cytochrome P450 84A1	
Zm00001d029246		ARM repeat superfamily protein	AT3G06210,AT4G14280,AT5G18980
Zm00001d029247		ARM repeat superfamily protein	AT3G06210,AT4G14280,AT5G18980
Zm00001d029249	umc1917	Uncharacterised protein family containing protein expressed;  protein	
Zm00001d029250	sudh5	succinate dehydrogenase5	
Zm00001d029252		Gibberellin receptor GID1	
Zm00001d029254	gpm828	Solute carrier family 2%2C facilitated glucose transporter member 8	AT5G18840
Zm00001d029255		Transferase%2C transferring glycosyl groups	AT5G18950
Zm00001d029256		Serine/arginine-rich SC35-like splicing factor SCL28	
Zm00001d029258		Protein kinase superfamily protein	
Zm00001d029260		Stomatal closure-related actin-binding protein 1	
